,watch_name,Watch Description,Watch Price,Total Rating
44,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
45,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,"1,015"
46,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
47,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695",13
48,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
49,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,379
50,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,"1,517"
51,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690",34
52,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",593
53,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
54,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099",456
55,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
56,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
57,V2A,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,599,0
58,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),799,705
59,TIMEX,Men's Watches Fashion Chronograph Luxury Dress Waterproof Quartz Wristwatches for Men Stainless Steel Band | Birthday Anniversary Gift for Men,395,"3,027"
60,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
61,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
